session_id,idx,time_ms,map_id,position_x,position_y,position_z
Analytics_Data_Attempt_1,3522,117000,Cidades-Inteligentes-01-Superficie _Legado,29.36,19.92,136.17
Analytics_Data_Attempt_1,3616,118000,Cidades-Inteligentes-01-Superficie _Legado,26.47,19.92,128.74
Analytics_Data_Attempt_1,3708,119000,Cidades-Inteligentes-01-Superficie _Legado,22.39,19.92,121.66
Analytics_Data_Attempt_1,3799,120000,Cidades-Inteligentes-01-Superficie _Legado,14.25,19.92,118.22
Analytics_Data_Attempt_1,3890,121000,Cidades-Inteligentes-01-Superficie _Legado,8.04,19.92,114.33
Analytics_Data_Attempt_1,3981,122000,Cidades-Inteligentes-01-Superficie _Legado,12.54,19.92,106.96
Analytics_Data_Attempt_1,4069,123000,Cidades-Inteligentes-01-Superficie _Legado,17.63,19.92,101.68
Analytics_Data_Attempt_1,4156,124000,Cidades-Inteligentes-01-Superficie _Legado,21.94,19.92,103.18
Analytics_Data_Attempt_1,4235,125000,Cidades-Inteligentes-01-Superficie _Legado,29.01,19.92,103.88
Analytics_Data_Attempt_1,4307,126000,Cidades-Inteligentes-01-Superficie _Legado,36.96,19.92,102.2
Analytics_Data_Attempt_1,4371,127000,Cidades-Inteligentes-01-Superficie _Legado,39.38,19.92,94.19
Analytics_Data_Attempt_1,4418,128000,Cidades-Inteligentes-01-Superficie _Legado,40.45,19.92,91.17
Analytics_Data_Attempt_1,4440,129000,Cidades-Inteligentes-01-Superficie _Legado,39.77,19.92,89.38
Analytics_Data_Attempt_1,4471,130000,Cidades-Inteligentes-01-Superficie _Legado,38.29,19.92,85.83
Analytics_Data_Attempt_1,4538,131000,Cidades-Inteligentes-01-Superficie _Legado,31.89,19.92,80.48
Analytics_Data_Attempt_1,4604,132000,Cidades-Inteligentes-01-Superficie _Legado,24.02,19.92,78.19
Analytics_Data_Attempt_1,4671,133000,Cidades-Inteligentes-01-Superficie _Legado,15.0,19.92,78.75
Analytics_Data_Attempt_1,4705,134000,Cidades-Inteligentes-01-Superficie _Legado,12.84,19.96,79.62
Analytics_Data_Attempt_1,4731,135000,Cidades-Inteligentes-01-Superficie _Legado,12.02,19.92,79.11
Analytics_Data_Attempt_1,4802,137000,Cidades-Inteligentes-01-Superficie _Legado,5.48,19.92,76.97
Analytics_Data_Attempt_1,4873,138000,Cidades-Inteligentes-01-Superficie _Legado,-3.45,19.92,76.81
Analytics_Data_Attempt_1,4947,139000,Cidades-Inteligentes-01-Superficie _Legado,-10.47,19.92,74.31
Analytics_Data_Attempt_1,5002,140000,Cidades-Inteligentes-01-Superficie _Legado,-11.11,19.92,70.91
Analytics_Data_Attempt_1,5058,141000,Cidades-Inteligentes-01-Superficie _Legado,-14.33,19.92,72.16
Analytics_Data_Attempt_1,5121,142000,Cidades-Inteligentes-01-Superficie _Legado,-19.26,19.92,74.97
Analytics_Data_Attempt_1,5172,143000,Cidades-Inteligentes-01-Superficie _Legado,-26.03,19.92,75.82
Analytics_Data_Attempt_1,5257,144000,Cidades-Inteligentes-01-Superficie _Legado,-32.34,19.92,68.7
Analytics_Data_Attempt_1,5339,145000,Cidades-Inteligentes-01-Superficie _Legado,-25.81,19.92,61.05
Analytics_Data_Attempt_1,5415,146000,Cidades-Inteligentes-01-Superficie _Legado,-16.3,19.92,57.43
Analytics_Data_Attempt_1,5487,147000,Cidades-Inteligentes-01-Superficie _Legado,-6.04,19.29,55.13
Analytics_Data_Attempt_1,5555,148000,Cidades-Inteligentes-01-Superficie _Legado,-1.68,18.2,53.09
Analytics_Data_Attempt_1,5598,149000,Cidades-Inteligentes-01-Superficie _Legado,-2.97,18.52,56.48
Analytics_Data_Attempt_1,5668,150000,Cidades-Inteligentes-01-Superficie _Legado,-2.09,18.3,53.72
Analytics_Data_Attempt_1,5722,151000,Cidades-Inteligentes-01-Superficie _Legado,-2.61,18.43,52.92
